Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,read_dates,genres,n_ratings,cover_url
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,"=""0307346609""","=""9780307346605""",0,4.02,Crown,Hardcover,342,2006,2006,,2025/10/06,to-read,to-read (#157),to-read,,,,0,0,"2025-10-15,2025-10-21",Horror|7465;Fiction|5836;Zombies|3397;Science Fiction|3087;Sci Fi|2806;Fantasy|1475;Post Apocalyptic|1311;Dystopia|1138;Dystopian|1101;Zombie|954;Books I Own|931;Audiobooks|911;Scifi|575;Apocalyptic|554;War|529;Audio|504;Apocalypse|420;Book Club|417;Thriller|388;Sci Fi Fantasy|387,562445,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1528312647i/8908.jpg
228185703,Breakneck: China's Quest to Engineer the Future,Dan Wang,"Wang, Dan",,"=""1324106042""","=""9781324106043""",0,4.27,W. W. Norton & Company,Kindle Edition,275,2025,,,2025/09/29,to-read,to-read (#156),to-read,,,,0,0,,China|110;Non Fiction|79;Politics|68;Economics|46;History|39;Nonfiction|34;Business|30;Technology|12;Geopolitics|10;Tech|8;Economy|7;Next Up|6;Audiobooks|5;Asia|5;To Buy|5;Government|4;Journalism|4;Priority|3;Shortlist|3;East Asia|3,2040,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1741079513i/228185703.jpg
188543465,The Trading Game: A Confession,Gary  Stevenson,"Stevenson, Gary",,"=""0593727215""","=""9780593727218""",0,4.14,Crown Currency,Hardcover,352,2024,2024,,2025/09/29,to-read,to-read (#155),to-read,,,,0,0,,Non Fiction|297;Finance|154;Economics|131;Business|103;Biography|95;Memoir|80;Nonfiction|69;Audiobooks|44;Trading|43;Politics|38;Memoirs|29;Investing|24;Economy|24;Biographies|22;To Buy|22;Money|22;2025 Books|19;Autobiography|19;Audible|17;Audio|14,18564,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1701893408i/188543465.jpg
23515727,No Country for Old Men,Cormac McCarthy,"McCarthy, Cormac",,"=""0375706674""","=""9780375706677""",0,4.17,Vintage International,Paperback,309,2006,2005,,2025/07/18,currently-reading,currently-reading (#9),currently-reading,,,,1,0,,Fiction|4774;Thriller|1109;Western|878;Crime|810;Classics|565;Mystery|526;Literature|447;Books I Own|440;Novels|399;Literary Fiction|291;Contemporary|281;Westerns|278;Cormac Mccarthy|272;American|270;Audiobooks|255;To Buy|200;Book Club|198;Mystery Thriller|195;Novel|186;American Literature|185,241130,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1740778210i/23515727.jpg
19288043,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""0307588378""","=""9780307588371""",4,4.14,Ballantine Books,Paperback,415,2014,2012,2025/09/17,2025/07/23,,,read,,,,1,0,"2025-09-10,2025-09-17",Fiction|14938;Mystery|12880;Thriller|11374;Book Club|5205;Books I Own|4515;Mystery Thriller|4052;Crime|3445;Suspense|2691;Contemporary|2652;Adult|1950;Thrillers|1741;Audiobooks|1709;Adult Fiction|1272;Owned Books|1122;My Library|1070;Thriller Mystery|1057;Novels|1040;My Books|1005;Bookshelf|965;Audio|898,3402963,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1554086139i/19288043.jpg
18405,Gone with the Wind,Margaret Mitchell,"Mitchell, Margaret",,"=""0446365386""","=""9780446365383""",0,4.31,Warner Books,Mass Market Paperback,1037,1993,1936,,2025/09/16,to-read,to-read (#154),to-read,,,,0,0,,Classics|17027;Historical Fiction|7598;Fiction|6661;Romance|3934;Classic|2855;Historical|1772;Books I Own|1491;War|742;Literature|729;Civil War|620;Historical Romance|574;Novels|568;History|546;To Buy|520;Pulitzer|504;All Time Favorites|467;Owned Books|411;1001 Books|404;Book Club|401;My Library|392,1251310,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405.jpg
